[20:55:09] [main/INFO]: ModLauncher running: args [--username, Fast_xiang, --version, 异界随行诗0.57, --gameDir, /storage/emulated/0/minecraft/versions/异界随行诗0.57, --assetsDir, /storage/emulated/0/minecraft/assets, --assetIndex, 5, --uuid, 3194f9fea6f93118be8b70008ebfef87, --accessToken, ❄❄❄❄❄❄❄❄, --clientId, ${clientid}, --xuid, ${auth_xuid}, --userType, msa, --versionType, Fold Craft Launcher, --width, 2320, --height, 1080, --launchTarget, forgeclient, --fml.forgeVersion, 47.4.6, --fml.mcVersion, 1.20.1, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20230612.114412]
[20:55:09] [main/INFO]: ModLauncher 10.0.9+10.0.9+main.dcd20f30 starting: java version 17.0.10-internal by N/A; OS Linux arch aarch64 version Android-12
[20:56:29] [modloading-worker-0/INFO]: common default pack init finished, cost time: 34497.89 ms
[20:56:30] [Render thread/ERROR]: Failed to register machine definition: com.lowdragmc.mbd2.common.machine.definition.MBDMachineDefinition - No default constructor found
[20:56:30] [Render thread/ERROR]: Failed to register machine definition: com.lowdragmc.mbd2.common.machine.definition.MultiblockMachineDefinition - No default constructor found
[20:56:30] [Render thread/ERROR]: Failed to register machine definition: com.lowdragmc.mbd2.integration.create.machine.CreateKineticMachineDefinition - No default constructor found
[20:56:30] [Render thread/INFO]: Loading recipe types
[20:56:30] [Render thread/INFO]: Loading machines
[20:56:31] [Render thread/INFO]: Module [kiwi:block_templates] initialized
[20:56:31] [Render thread/INFO]: Module [kiwi:block_components] initialized
[20:56:31] [Render thread/INFO]: Module [kiwi:data] initialized
[20:56:31] [Render thread/INFO]: 		recipe_serializer: 3
[20:56:31] [Render thread/INFO]: Module [kiwi:item_templates] initialized
[20:56:33] [Render thread/INFO]: Registering Block: plonk:placed_items
[20:56:34] [Render thread/INFO]: Initialized block sets in 34ms
[20:56:35] [Render thread/INFO]: Registering Item: plonk:placed_items
[20:56:36] [Render thread/WARN]: Registry entry listened Registry Entry [minecraft:entity_type / mca:male_zombie_villager] was not realized!
[20:56:36] [Render thread/WARN]: Registry entry listened Registry Entry [minecraft:entity_type / mca:female_zombie_villager] was not realized!
[20:56:36] [Render thread/WARN]: Registry entry listened Registry Entry [minecraft:entity_type / mca:grim_reaper] was not realized!
[20:56:36] [Render thread/WARN]: Registry entry listened Registry Entry [minecraft:entity_type / mca:female_villager] was not realized!
[20:56:36] [Render thread/WARN]: Registry entry listened Registry Entry [minecraft:entity_type / mca:male_villager] was not realized!
[20:56:37] [Render thread/WARN]: Registry entry listened Registry Entry [minecraft:entity_type / mca:male_zombie_villager] was not realized!
[20:56:37] [Render thread/WARN]: Registry entry listened Registry Entry [minecraft:entity_type / mca:female_zombie_villager] was not realized!
[20:56:37] [Render thread/WARN]: Registry entry listened Registry Entry [minecraft:entity_type / mca:grim_reaper] was not realized!
[20:56:37] [Render thread/WARN]: Registry entry listened Registry Entry [minecraft:entity_type / mca:female_villager] was not realized!
[20:56:37] [Render thread/WARN]: Registry entry listened Registry Entry [minecraft:entity_type / mca:male_villager] was not realized!
[20:56:37] [Render thread/WARN]: Registry entry listened Registry Entry [minecraft:entity_type / mca:male_zombie_villager] was not realized!
[20:56:37] [Render thread/WARN]: Registry entry listened Registry Entry [minecraft:entity_type / mca:female_zombie_villager] was not realized!
[20:56:37] [Render thread/WARN]: Registry entry listened Registry Entry [minecraft:entity_type / mca:grim_reaper] was not realized!
[20:56:37] [Render thread/WARN]: Registry entry listened Registry Entry [minecraft:entity_type / mca:female_villager] was not realized!
[20:56:37] [Render thread/WARN]: Registry entry listened Registry Entry [minecraft:entity_type / mca:male_villager] was not realized!
[20:56:37] [Render thread/WARN]: Registry entry listened Registry Entry [minecraft:entity_type / mca:male_zombie_villager] was not realized!
[20:56:37] [Render thread/WARN]: Registry entry listened Registry Entry [minecraft:entity_type / mca:female_zombie_villager] was not realized!
[20:56:37] [Render thread/WARN]: Registry entry listened Registry Entry [minecraft:entity_type / mca:grim_reaper] was not realized!
[20:56:37] [Render thread/WARN]: Registry entry listened Registry Entry [minecraft:entity_type / mca:female_villager] was not realized!
[20:56:37] [Render thread/WARN]: Registry entry listened Registry Entry [minecraft:entity_type / mca:male_villager] was not realized!
[20:56:37] [Render thread/INFO]: Registering BlockEntity: plonk:placed_items
[20:56:40] [Render thread/WARN]: defineId called for: class forge.net.mca.entity.GrimReaperEntity from class forge.net.mca.util.network.datasync.CEnumParameter
[20:56:40] [Render thread/WARN]: defineId called for: class forge.net.mca.entity.VillagerEntityMCA from class forge.net.mca.util.network.datasync.CDataParameter
[20:56:40] [Render thread/WARN]: defineId called for: class forge.net.mca.entity.VillagerEntityMCA from class forge.net.mca.util.network.datasync.CDataParameter
[20:56:40] [Render thread/WARN]: defineId called for: class forge.net.mca.entity.VillagerEntityMCA from class forge.net.mca.util.network.datasync.CDataParameter
[20:56:40] [Render thread/WARN]: defineId called for: class forge.net.mca.entity.VillagerEntityMCA from class forge.net.mca.util.network.datasync.CDataParameter
[20:56:40] [Render thread/WARN]: defineId called for: class forge.net.mca.entity.VillagerEntityMCA from class forge.net.mca.util.network.datasync.CDataParameter
[20:56:40] [Render thread/WARN]: defineId called for: class forge.net.mca.entity.VillagerEntityMCA from class forge.net.mca.util.network.datasync.CDataParameter
[20:56:40] [Render thread/WARN]: defineId called for: class forge.net.mca.entity.VillagerEntityMCA from class forge.net.mca.util.network.datasync.CDataParameter
[20:56:40] [Render thread/WARN]: defineId called for: class forge.net.mca.entity.VillagerEntityMCA from class forge.net.mca.util.network.datasync.CEnumParameter
[20:56:40] [Render thread/WARN]: defineId called for: class forge.net.mca.entity.VillagerEntityMCA from class forge.net.mca.util.network.datasync.CDataParameter
[20:56:40] [Render thread/WARN]: defineId called for: class forge.net.mca.entity.VillagerEntityMCA from class forge.net.mca.util.network.datasync.CDataParameter
[20:56:40] [Render thread/WARN]: defineId called for: class forge.net.mca.entity.VillagerEntityMCA from class forge.net.mca.util.network.datasync.CDataParameter
[20:56:40] [Render thread/WARN]: defineId called for: class forge.net.mca.entity.VillagerEntityMCA from class forge.net.mca.util.network.datasync.CDataParameter
[20:56:40] [Render thread/WARN]: defineId called for: class forge.net.mca.entity.VillagerEntityMCA from class forge.net.mca.util.network.datasync.CDataParameter
[20:56:40] [Render thread/WARN]: defineId called for: class forge.net.mca.entity.VillagerEntityMCA from class forge.net.mca.util.network.datasync.CDataParameter
[20:56:40] [Render thread/WARN]: defineId called for: class forge.net.mca.entity.VillagerEntityMCA from class forge.net.mca.util.network.datasync.CDataParameter
[20:56:40] [Render thread/WARN]: defineId called for: class forge.net.mca.entity.VillagerEntityMCA from class forge.net.mca.util.network.datasync.CDataParameter
[20:56:40] [Render thread/WARN]: defineId called for: class forge.net.mca.entity.VillagerEntityMCA from class forge.net.mca.util.network.datasync.CDataParameter
[20:56:40] [Render thread/WARN]: defineId called for: class forge.net.mca.entity.VillagerEntityMCA from class forge.net.mca.util.network.datasync.CDataParameter
[20:56:40] [Render thread/WARN]: defineId called for: class forge.net.mca.entity.VillagerEntityMCA from class forge.net.mca.util.network.datasync.CDataParameter
[20:56:40] [Render thread/WARN]: defineId called for: class forge.net.mca.entity.VillagerEntityMCA from class forge.net.mca.util.network.datasync.CEnumParameter
[20:56:40] [Render thread/WARN]: defineId called for: class forge.net.mca.entity.VillagerEntityMCA from class forge.net.mca.util.network.datasync.CDataParameter
[20:56:40] [Render thread/WARN]: defineId called for: class forge.net.mca.entity.VillagerEntityMCA from class forge.net.mca.util.network.datasync.CDataParameter
[20:56:40] [Render thread/WARN]: defineId called for: class forge.net.mca.entity.VillagerEntityMCA from class forge.net.mca.util.network.datasync.CEnumParameter
[20:56:40] [Render thread/WARN]: defineId called for: class forge.net.mca.entity.VillagerEntityMCA from class forge.net.mca.util.network.datasync.CDataParameter
[20:56:40] [Render thread/WARN]: defineId called for: class forge.net.mca.entity.VillagerEntityMCA from class forge.net.mca.util.network.datasync.CEnumParameter
[20:56:40] [Render thread/WARN]: defineId called for: class forge.net.mca.entity.VillagerEntityMCA from class forge.net.mca.util.network.datasync.CEnumParameter
[20:56:40] [Render thread/WARN]: defineId called for: class forge.net.mca.entity.VillagerEntityMCA from class forge.net.mca.util.network.datasync.CDataParameter
[20:56:40] [Render thread/WARN]: defineId called for: class forge.net.mca.entity.VillagerEntityMCA from class forge.net.mca.util.network.datasync.CDataParameter
[20:56:40] [Render thread/WARN]: defineId called for: class forge.net.mca.entity.VillagerEntityMCA from class forge.net.mca.util.network.datasync.CDataParameter
[20:56:40] [Render thread/WARN]: defineId called for: class forge.net.mca.entity.VillagerEntityMCA from class forge.net.mca.util.network.datasync.CDataParameter
[20:56:40] [Render thread/WARN]: defineId called for: class forge.net.mca.entity.VillagerEntityMCA from class forge.net.mca.util.network.datasync.CDataParameter
[20:56:40] [Render thread/WARN]: defineId called for: class forge.net.mca.entity.VillagerEntityMCA from class forge.net.mca.util.network.datasync.CDataParameter
[20:56:40] [Render thread/WARN]: defineId called for: class forge.net.mca.entity.VillagerEntityMCA from class forge.net.mca.util.network.datasync.CDataParameter
[20:56:40] [Render thread/WARN]: defineId called for: class forge.net.mca.entity.VillagerEntityMCA from class forge.net.mca.util.network.datasync.CDataParameter
[20:56:40] [Render thread/WARN]: defineId called for: class forge.net.mca.entity.VillagerEntityMCA from class forge.net.mca.util.network.datasync.CDataParameter
[20:56:40] [Render thread/WARN]: defineId called for: class forge.net.mca.entity.VillagerEntityMCA from class forge.net.mca.util.network.datasync.CDataParameter
[20:56:40] [Render thread/WARN]: defineId called for: class forge.net.mca.entity.VillagerEntityMCA from class forge.net.mca.util.network.datasync.CDataParameter
[20:56:40] [Render thread/INFO]: Replacing search trees with 'JEI' provider
[20:56:41] [Render thread/WARN]: Configuration file /storage/emulated/0/minecraft/versions/异界随行诗0.57/tacz/tacz-pre.toml is not correct. Correcting
[20:56:41] [Render thread/WARN]: Incorrect key gunpack was corrected from null to its default, SimpleCommentedConfig:{}. 
[20:56:41] [Render thread/WARN]: Incorrect key gunpack.DefaultPackDebug was corrected from null to its default, false. 
[20:56:55] [Thread-0/INFO]: Please use /mfrc to reload any changed mod config files
[20:57:22] [Render thread/INFO]: Preparing Resource Pack injection.
[20:57:22] [Render thread/INFO]: Loaded folder Resource Pack from /storage/emulated/0/minecraft/versions/异界随行诗0.57/config/openloader/resources/fast.
[20:57:22] [Render thread/INFO]: Successfully injected 1/1 packs from /storage/emulated/0/minecraft/versions/异界随行诗0.57/config/openloader/resources.
[20:57:23] [Render thread/INFO]: Hardware information:
[20:57:23] [Render thread/INFO]: CPU: 8x SM8250
[20:57:23] [Render thread/INFO]: GPU: Adreno (TM) 650 | OpenGL ES 3.2 (Supports OpenGL 4.0.0 MobileGlues 1.2.4)
[20:57:23] [Render thread/INFO]: OS: Linux (Android-12)
[20:57:23] [Render thread/WARN]: Mod(s) [oculus] are modifying Embeddium class me.jellysquid.mods.sodium.client.render.vertex.VertexFormatDescriptionImpl, which may cause instability.
[20:57:23] [Render thread/WARN]: Mod(s) [oculus] are modifying Embeddium class me.jellysquid.mods.sodium.client.render.vertex.buffer.SodiumBufferBuilder, which may cause instability.
[20:57:23] [Render thread/WARN]: Mod(s) [oculus] are modifying Embeddium class me.jellysquid.mods.sodium.client.render.SodiumWorldRenderer, which may cause instability.
[20:57:25] [Render thread/INFO]: Register key binding.
[20:57:25] [Finalizer/WARN]: One or more BufferBuilders have been leaked, ModernFix will attempt to correct this.
[20:57:25] [Render thread/INFO]: [FANCYMENU] Registering resource reload listener..
[20:57:25] [Worker-Main-2/ERROR]: Failed to retrieve profile key pair
java.io.IOException: Could not retrieve profile key pair
	at net.minecraft.client.multiplayer.AccountProfileKeyPairManager.m_253252_(AccountProfileKeyPairManager.java:129) ~[client-1.20.1-20230612.114412-srg.jar%23474!/:?]
	at net.minecraft.client.multiplayer.AccountProfileKeyPairManager.m_252828_(AccountProfileKeyPairManager.java:74) ~[client-1.20.1-20230612.114412-srg.jar%23474!/:?]
	at java.util.concurrent.CompletableFuture$AsyncSupply.run(Unknown Source) ~[?:?]
	at java.util.concurrent.CompletableFuture$AsyncSupply.exec(Unknown Source) ~[?:?]
	at java.util.concurrent.ForkJoinTask.doExec(Unknown Source) ~[?:?]
	at java.util.concurrent.ForkJoinPool$WorkQueue.topLevelExec(Unknown Source) ~[?:?]
	at java.util.concurrent.ForkJoinPool.scan(Unknown Source) ~[?:?]
	at java.util.concurrent.ForkJoinPool.runWorker(Unknown Source) ~[?:?]
	at java.util.concurrent.ForkJoinWorkerThread.run(Unknown Source) ~[?:?]
[20:57:25] [Render thread/INFO]: [FANCYMENU] Initializing screen customization engine! Addons should NOT REGISTER TO REGISTRIES anymore now!
[20:57:27] [Render thread/INFO]: [FANCYMENU] Minecraft resource reload: STARTING
[20:57:27] [Render thread/INFO]: Invalidating pack caches
[20:57:27] [Render thread/INFO]: Reloading ResourceManager: vanilla, tacz_resources, mod_resources, Moonlight Mods Dynamic Assets, KubeJS Resource Pack [assets], file/Minecraft-Mod-Language-Modpack-Converted-1.20.1.zip, resources/fast, fabric, ldlib
[20:57:28] [Render thread/INFO]: Generated runtime CLIENT_RESOURCES for pack Moonlight Mods Dynamic Assets (moonlight) in: 6 ms
[20:57:28] [Worker-ResourceReload-0/INFO]: Loading bedrock model file: touhou_little_maid:models/bedrock/block/shrine.json
[20:57:28] [Worker-ResourceReload-0/INFO]: Loading bedrock model file: touhou_little_maid:models/bedrock/block/altar.json
[20:57:28] [Worker-ResourceReload-0/INFO]: Loading bedrock model file: touhou_little_maid:models/bedrock/entity/backpack/tank_backpack.json
[20:57:28] [Worker-ResourceReload-0/INFO]: Loading bedrock model file: touhou_little_maid:models/bedrock/entity/maid_fairy.json
[20:57:28] [Worker-ResourceReload-0/INFO]: Loading bedrock model file: touhou_little_maid:models/bedrock/entity/backpack/small_backpack.json
[20:57:28] [Worker-ResourceReload-0/INFO]: Loading bedrock model file: touhou_little_maid:models/bedrock/entity/broom.json
[20:57:28] [Worker-ResourceReload-0/INFO]: Loading bedrock model file: touhou_little_maid:models/bedrock/block/maid_bed/black.json
[20:57:28] [Worker-ResourceReload-0/INFO]: Loading bedrock model file: touhou_little_maid:models/bedrock/block/cchess.json
[20:57:28] [Worker-ResourceReload-0/INFO]: Loading bedrock model file: touhou_little_maid:models/bedrock/block/gomoku.json
[20:57:28] [Worker-ResourceReload-0/INFO]: Loading bedrock model file: touhou_little_maid:models/bedrock/block/maid_bed/yellow.json
[20:57:28] [Worker-ResourceReload-0/INFO]: Loading bedrock model file: touhou_little_maid:models/bedrock/block/computer.json
[20:57:28] [Worker-ResourceReload-0/INFO]: Loading bedrock model file: touhou_little_maid:models/bedrock/block/gomoku_piece.json
[20:57:28] [Worker-ResourceReload-0/INFO]: Loading bedrock model file: touhou_little_maid:models/bedrock/block/bookshelf.json
[20:57:28] [Worker-ResourceReload-0/INFO]: Loading bedrock model file: touhou_little_maid:models/bedrock/block/maid_bed/blue.json
[20:57:28] [Worker-ResourceReload-0/INFO]: Loading bedrock model file: touhou_little_maid:models/bedrock/entity/backpack/end_chest_backpack.json
[20:57:28] [Worker-ResourceReload-0/INFO]: Loading bedrock model file: touhou_little_maid:models/bedrock/block/keyboard.json
[20:57:28] [Worker-ResourceReload-0/INFO]: Loading bedrock model file: touhou_little_maid:models/bedrock/entity/backpack/crafting_table_backpack.json
[20:57:28] [Worker-ResourceReload-0/INFO]: Loading bedrock model file: touhou_little_maid:models/bedrock/block/picnic_mat.json
[20:57:28] [Worker-ResourceReload-0/INFO]: Loading bedrock model file: touhou_little_maid:models/bedrock/block/statue_base.json
[20:57:28] [Worker-ResourceReload-0/INFO]: Loading bedrock model file: touhou_little_maid:models/bedrock/block/wchess.json
[20:57:28] [Worker-ResourceReload-0/INFO]: Loading bedrock model file: touhou_little_maid:models/bedrock/block/picnic_basket.json
[20:57:28] [Worker-ResourceReload-0/INFO]: Loading bedrock model file: touhou_little_maid:models/bedrock/entity/maid_banner.json
[20:57:28] [Worker-ResourceReload-0/INFO]: Loading bedrock model file: touhou_little_maid:models/bedrock/block/cchess_pieces.json
[20:57:28] [modloading-worker-0/INFO]: Loading client config for overflowingbars
[20:57:28] [Worker-ResourceReload-0/INFO]: Loading bedrock model file: touhou_little_maid:models/bedrock/block/maid_bed/purple.json
[20:57:28] [Worker-ResourceReload-0/INFO]: Loading bedrock model file: touhou_little_maid:models/bedrock/entity/tombstone.json
[20:57:28] [Worker-ResourceReload-0/INFO]: Loading bedrock model file: touhou_little_maid:models/bedrock/entity/cake_box.json
[20:57:28] [Worker-ResourceReload-0/INFO]: Loading bedrock model file: touhou_little_maid:models/bedrock/entity/backpack/middle_backpack.json
[20:57:28] [Worker-ResourceReload-0/INFO]: Loading bedrock model file: touhou_little_maid:models/bedrock/entity/new_maid_fairy.json
[20:57:28] [Worker-ResourceReload-0/INFO]: Loading bedrock model file: touhou_little_maid:models/bedrock/entity/backpack/big_backpack.json
[20:57:28] [Worker-ResourceReload-0/INFO]: Loading bedrock model file: touhou_little_maid:models/bedrock/block/maid_bed/pink.json
[20:57:28] [Worker-ResourceReload-0/INFO]: Loading bedrock model file: touhou_little_maid:models/bedrock/block/maid_bed/green.json
[20:57:28] [Worker-ResourceReload-0/INFO]: Loading bedrock model file: touhou_little_maid:models/bedrock/entity/marisa_yukkuri.json
[20:57:28] [Worker-ResourceReload-0/INFO]: Loading bedrock model file: touhou_little_maid:models/bedrock/block/wchess_pieces.json
[20:57:28] [Worker-ResourceReload-0/INFO]: Loading bedrock model file: touhou_little_maid:models/bedrock/entity/backpack/furnace_backpack.json
[20:57:28] [Worker-ResourceReload-0/INFO]: Loading bedrock model file: touhou_little_maid:models/bedrock/entity/reimu_yukkuri.json
[20:57:28] [Worker-ResourceReload-0/INFO]: Loading bedrock model file: touhou_little_maid:models/bedrock/block/maid_bed/white.json
[20:57:28] [modloading-worker-0/INFO]: Loading common config for mutantmonsters
[20:57:29] [Worker-ResourceReload-0/INFO]: ConstructionWand says hello - may the odds be ever in your favor.
[20:57:29] [Forge Version Check/INFO]: [ctov] Starting version check at https://api.modrinth.com/updates/fgmhI8kH/forge_updates.json
[20:57:29] [Worker-ResourceReload-0/INFO]: Enabling support for Game Stages
[20:57:29] [Worker-ResourceReload-3/INFO]: HashMap test result: hash=67, L2O=51
[20:57:30] [Worker-ResourceReload-0/INFO]: Setting game stages provider implementation to: KubeJS Stages
[20:57:30] [Worker-ResourceReload-0/INFO]: Chose [KubeJS Stages] as the active game stages implementation
[20:57:30] [Worker-ResourceReload-0/INFO]: Chose [FALLBACK] as the active permissions implementation
[20:57:30] [Worker-ResourceReload-0/INFO]: [FTB Quests] recipe helper provider is [JEI]
[20:57:30] [Worker-ResourceReload-0/INFO]: [FTB Quests] Enabled Item Filters integration
[20:57:30] [Worker-ResourceReload-0/INFO]: [FTB Chunks] Enabled Waystones integration
[20:57:30] [Worker-ResourceReload-0/ERROR]: Injection error: LVT in net/minecraft/world/entity/npc/VillagerTrades$EmeraldsForVillagerTypeItem::m_213663_(Lnet/minecraft/world/entity/Entity;Lnet/minecraft/util/RandomSource;)Lnet/minecraft/world/item/trading/MerchantOffer; has incompatible changes at opcode 34 in callback fabric-object-builder-v1.mixins.json:TradeOffersTypeAwareBuyForOneEmeraldFactoryMixin->@Inject::failOnNullItem(Lnet/minecraft/world/entity/Entity;Lnet/minecraft/util/RandomSource;Lorg/spongepowered/asm/mixin/injection/callback/CallbackInfoReturnable;Lnet/minecraft/world/item/ItemStack;)V.
 Expected: [Lnet/minecraft/world/item/ItemStack;]
    Found: [Lnet/minecraft/world/item/Item;]
Available: [Lnet/minecraft/world/item/Item;, Lnet/minecraft/world/item/ItemStack;]
[20:57:30] [Forge Version Check/INFO]: [ctov] Found status: OUTDATED Current: 3.4.12 Target: 3.4.14
[20:57:30] [Forge Version Check/INFO]: [corpse] Starting version check at https://update.maxhenkel.de/forge/corpse
[20:57:30] [Worker-ResourceReload-3/INFO]: Presented by Zaia
[20:57:30] [Worker-ResourceReload-0/INFO]: HELLO FROM COMMON SETUP
[20:57:32] [Forge Version Check/INFO]: [corpse] Found status: OUTDATED Current: 1.20.1-1.0.20 Target: 1.20.1-1.0.23
[20:57:32] [Forge Version Check/INFO]: [gamestages] Starting version check at https://updates.blamejared.com/get?n=gamestages&gv=1.20.1
[20:57:33] [Forge Version Check/INFO]: [gamestages] Found status: BETA Current: 15.0.2 Target: 15.0.2
[20:57:33] [Forge Version Check/INFO]: [mutantmonsters] Starting version check at https://raw.githubusercontent.com/Fuzss/modresources/main/update/mutantmonsters.json
[20:57:33] [Forge Version Check/INFO]: [mutantmonsters] Found status: UP_TO_DATE Current: 8.0.7 Target: null
[20:57:33] [Forge Version Check/INFO]: [attributefix] Starting version check at https://updates.blamejared.com/get?n=attributefix&gv=1.20.1
[20:57:33] [Forge Version Check/INFO]: [attributefix] Found status: BETA Current: 21.0.4 Target: 21.0.4
[20:57:33] [Forge Version Check/INFO]: [puzzlesaccessapi] Starting version check at https://raw.githubusercontent.com/Fuzss/modresources/main/update/puzzlesaccessapi.json
[20:57:33] [Forge Version Check/INFO]: [puzzlesaccessapi] Found status: BETA Current: 20.1.1 Target: null
[20:57:33] [Forge Version Check/INFO]: [forge] Starting version check at https://files.minecraftforge.net/net/minecraftforge/forge/promotions_slim.json
[20:57:34] [Worker-ResourceReload-5/INFO]: Found unifont_all_no_pua-15.0.06.hex, loading
[20:57:34] [Forge Version Check/INFO]: [forge] Found status: OUTDATED Current: 47.4.6 Target: 47.4.10
[20:57:34] [Forge Version Check/INFO]: [trade_cycling] Starting version check at https://update.maxhenkel.de/forge/trade_cycling
[20:57:34] [Render thread/INFO]: [FANCYMENU] Starting late client initialization phase..
[20:57:34] [Worker-ResourceReload-6/WARN]: File cataclysm:sounds/entity/maledictus_leap.ogg does not exist, cannot add it to event cataclysm:maledictus_leap
[20:57:34] [Render thread/INFO]: Client resource reload complete!
[20:57:34] [Worker-ResourceReload-6/WARN]: File mmlib:sounds/presented_by_zaia.ogg does not exist, cannot add it to event mysterious_mountain_lib:presented_by_zaia
[20:57:34] [Worker-ResourceReload-6/WARN]: File irons_spellbooks:sounds/dead_king/music/drums.ogg does not exist, cannot add it to event irons_spellbooks:entity.dead_king.music.drum_loop
[20:57:34] [Worker-ResourceReload-6/WARN]: File irons_spellbooks:sounds/dead_king/music/finale.ogg does not exist, cannot add it to event irons_spellbooks:entity.dead_king.music.finale
[20:57:34] [Forge Version Check/INFO]: [trade_cycling] Found status: OUTDATED Current: 1.20.1-1.0.17 Target: 1.20.1-1.0.18
[20:57:34] [Forge Version Check/INFO]: [embeddium_extra] Starting version check at https://api.modrinth.com/updates/rubidium-extra/forge_updates.json
[20:57:35] [Forge Version Check/INFO]: [embeddium_extra] Found status: UP_TO_DATE Current: 0.5.4.4+mc1.20.1-build.131 Target: null
[20:57:35] [Forge Version Check/INFO]: [puzzleslib] Starting version check at https://raw.githubusercontent.com/Fuzss/modresources/main/update/puzzleslib.json
[20:57:35] [Forge Version Check/INFO]: [puzzleslib] Found status: OUTDATED Current: 8.1.29 Target: 8.1.33
[20:57:35] [Forge Version Check/INFO]: [prism] Starting version check at https://mc-update-check.anthonyhilyard.com/638111
[20:57:35] [Forge Version Check/WARN]: Failed to process update information
javax.net.ssl.SSLHandshakeException: PKIX path validation failed: java.security.cert.CertPathValidatorException: validity check failed
	at jdk.internal.net.http.HttpClientImpl.send(Unknown Source) ~[java.net.http:?]
	at jdk.internal.net.http.HttpClientFacade.send(Unknown Source) ~[java.net.http:?]
	at net.minecraftforge.fml.VersionChecker$1.openUrlString(VersionChecker.java:142) ~[fmlcore-1.20.1-47.4.6.jar%23475!/:?]
	at net.minecraftforge.fml.VersionChecker$1.process(VersionChecker.java:180) ~[fmlcore-1.20.1-47.4.6.jar%23475!/:?]
	at java.lang.Iterable.forEach(Unknown Source) ~[?:?]
	at net.minecraftforge.fml.VersionChecker$1.run(VersionChecker.java:117) ~[fmlcore-1.20.1-47.4.6.jar%23475!/:?]
Caused by: javax.net.ssl.SSLHandshakeException: PKIX path validation failed: java.security.cert.CertPathValidatorException: validity check failed
	at sun.security.ssl.Alert.createSSLException(Unknown Source) ~[?:?]
	at sun.security.ssl.TransportContext.fatal(Unknown Source) ~[?:?]
	at sun.security.ssl.TransportContext.fatal(Unknown Source) ~[?:?]
	at sun.security.ssl.TransportContext.fatal(Unknown Source) ~[?:?]
	at sun.security.ssl.CertificateMessage$T12CertificateConsumer.checkServerCerts(Unknown Source) ~[?:?]
	at sun.security.ssl.CertificateMessage$T12CertificateConsumer.onCertificate(Unknown Source) ~[?:?]
	at sun.security.ssl.CertificateMessage$T12CertificateConsumer.consume(Unknown Source) ~[?:?]
	at sun.security.ssl.SSLHandshake.consume(Unknown Source) ~[?:?]
	at sun.security.ssl.HandshakeContext.dispatch(Unknown Source) ~[?:?]
	at sun.security.ssl.SSLEngineImpl$DelegatedTask$DelegatedAction.run(Unknown Source) ~[?:?]
	at sun.security.ssl.SSLEngineImpl$DelegatedTask$DelegatedAction.run(Unknown Source) ~[?:?]
	at java.security.AccessController.doPrivileged(Unknown Source) ~[?:?]
	at sun.security.ssl.SSLEngineImpl$DelegatedTask.run(Unknown Source) ~[?:?]
	at java.util.ArrayList.forEach(Unknown Source) ~[?:?]
	at jdk.internal.net.http.common.SSLFlowDelegate.lambda$executeTasks$3(Unknown Source) ~[java.net.http:?]
	at jdk.internal.net.http.HttpClientImpl$DelegatingExecutor.execute(Unknown Source) ~[java.net.http:?]
	at jdk.internal.net.http.common.SSLFlowDelegate.executeTasks(Unknown Source) ~[java.net.http:?]
	at jdk.internal.net.http.common.SSLFlowDelegate.doHandshake(Unknown Source) ~[java.net.http:?]
	at jdk.internal.net.http.common.SSLFlowDelegate$Reader.processData(Unknown Source) ~[java.net.http:?]
	at jdk.internal.net.http.common.SSLFlowDelegate$Reader$ReaderDownstreamPusher.run(Unknown Source) ~[java.net.http:?]
	at jdk.internal.net.http.common.SequentialScheduler$LockingRestartableTask.run(Unknown Source) ~[java.net.http:?]
	at jdk.internal.net.http.common.SequentialScheduler$CompleteRestartableTask.run(Unknown Source) ~[java.net.http:?]
	at jdk.internal.net.http.common.SequentialScheduler$TryEndDeferredCompleter.complete(Unknown Source) ~[java.net.http:?]
	at jdk.internal.net.http.common.SequentialScheduler$CompleteRestartableTask.run(Unknown Source) ~[java.net.http:?]
	at jdk.internal.net.http.common.SequentialScheduler$SchedulableTask.run(Unknown Source) ~[java.net.http:?]
	at java.util.concurrent.ThreadPoolExecutor.runWorker(Unknown Source) ~[?:?]
	at java.util.concurrent.ThreadPoolExecutor$Worker.run(Unknown Source) ~[?:?]
	at java.lang.Thread.run(Unknown Source) ~[?:?]
Caused by: sun.security.validator.ValidatorException: PKIX path validation failed: java.security.cert.CertPathValidatorException: validity check failed
	at sun.security.validator.PKIXValidator.doValidate(Unknown Source) ~[?:?]
	at sun.security.validator.PKIXValidator.engineValidate(Unknown Source) ~[?:?]
	at sun.security.validator.Validator.validate(Unknown Source) ~[?:?]
	at sun.security.ssl.X509TrustManagerImpl.checkTrusted(Unknown Source) ~[?:?]
	at sun.security.ssl.X509TrustManagerImpl.checkServerTrusted(Unknown Source) ~[?:?]
	at sun.security.ssl.CertificateMessage$T12CertificateConsumer.checkServerCerts(Unknown Source) ~[?:?]
	at sun.security.ssl.CertificateMessage$T12CertificateConsumer.onCertificate(Unknown Source) ~[?:?]
	at sun.security.ssl.CertificateMessage$T12CertificateConsumer.consume(Unknown Source) ~[?:?]
	at sun.security.ssl.SSLHandshake.consume(Unknown Source) ~[?:?]
	at sun.security.ssl.HandshakeContext.dispatch(Unknown Source) ~[?:?]
